"","Denominación_social","Domicilio_social","Latitud","Longitud","Fecha_constitución","CNAE","Objeto_social","Tamaño_empresa_por_facturación","Índice_crec_interanual_ventas","Tamaño_empresa_por_empleados","Empleo_fijo","Empleo_temporal","Teléfono","Estado","URL","Metatag_descripción","RRSS","Cotización_en_bolsa","Actividad_internacional","Capital_social","Empleados","Empleados_año","Resultado","Municipio"
"563","Breading Sociedad Limitada.","CALLE ANDRA MARI, 18 - BJ","43.1677195","-2.63074856","03/04/2013","6619 - Otras actividades auxiliares a los servicios financieros, excepto seguros y fondos de pensiones","Administración y gestion del patrimonio de sus socios","-","Administrador Único:  RICARDO M...
Apoderado:  MARIA BEGOÑA C...","-","-","-","-","Activa","-","-","-","NO","No constan","3.000 €","-","-","-","Durango"
"564","Denayte Bizkaia Sociedad Limitada.  (extinguida)","CALLE JUAN MARI ALTUNA, 8 - BJ","43.169104","-2.628006","05/04/2013","4677 - Comercio al por mayor de chatarra y productos de desecho","La compraventa, manipulación, desguace, clasificación y almacenamiento de chatarras, metales y derivados","-","-","-","-","-","-","Extinguida","-","-","-","NO","No constan","3.020 €","-","-","-","Durango"
"565","Kudetok Negocios Sociedad Limitada.","GRUPO IBAIZABAL, 6 - PISO 3 A","43.170627","-2.628513","28/01/2015","0147 - Avicultura","CNAE Actividad 01.47 Avicultura. 01.50 Producción agrícola combinada con la producción ganadera. 01.70 Caza, captura de animales y servicios relacionados con las mismas. 02.10 Silvicultura y otras actividades forestales. 02.20 Explotación de la madera. 10.13 Elaboración de productos cárnicos","-","Administrador Único:  JESUS A...","-","-","-","-","Activa","-","-","-","NO","No constan","60.000 €","-","-","-","Durango"
"566","J&m Enterprise Community Sociedad Limitada.","GRUPO ARAMOTZ, 2 - PISO 3 DR","43.17021412","-2.64407804","27/09/2016","9602 - Peluquería y otros tratamientos de belleza","LA EXPLOTACION DEL NEGOCIO DE BELLEZA Y ESTETICA INTEGRAL","-","Administrador Único:  JOHANA JIRLEZA M...","-","-","-","-","Activa","-","-","-","NO","No constan","3.000 €","-","-","-","Durango"
"567","Rogarbe Instalaciones Sociedad Limitada.  (extinguida)","CALLE MONTORRETA, 1 - PAR H","43.167275","-2.62504","24/01/2013","4322 - Fontanería, instalaciones de sistemas de calefacción y aire acondicionado","LA REALIZACION DE TODO TIPO DE INSTALACIONES DE FONTANERIA Y AGUA CALIENTE","-","-","-","-","-","-","Extinguida","-","-","-","NO","No constan","6.000 €","-","-","-","Durango"
"568","Batera-tik Solutions Sociedad Limitada.","GRUPO IBAIZABAL, 5 - PISO 1 A","43.17071798","-2.62909681","15/02/2019","6209 - Otros servicios relacionados con las tecnologías de la información y la informática","Otros servicios relacionados con las tecnologías de la información y la informática","-","Administrador Único:  ENRIQUE O...","-","-","-","946032382","Activa","-","-","-","NO","No constan","3.002 €","-","-","-","Durango"
"569","Marte Acosta Dominga","-",NA,NA,"-","9602 - Peluquería y otros tratamientos de belleza","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"570","Ardanza Azcarraga Urizar Egoitz","-",NA,NA,"-","7739 - Alquiler de otra maquinaria, equipos y bienes tangibles n.c.o.p.","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"571","Grande Moreno Juan","-",NA,NA,"-","4781 - Comercio al por menor de productos alimenticios, bebidas y tabaco en puestos de venta y mercadillos","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"572","Olabarri Bengoetxea Gaizka","-",NA,NA,"-","4761 - Comercio al por menor de libros en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"573","Arellano Aizpuru Ana Maria","-",NA,NA,"-","5610 - Restaurantes y puestos de comidas","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"574","Sandoval Montelongo Marianela","-",NA,NA,"-","4719 - Otro comercio al por menor en establecimientos no especializados","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"575","Vaca Alomoto Maria Yolanda","-",NA,NA,"-","4711 - Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"576","Gorospe Bereciartua Sabin","-",NA,NA,"-","3519 - Producción de energía eléctrica de otros tipos","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"577","Aguirre Irastorza Ibon","-",NA,NA,"-","0161 - Actividades de apoyo a la agricultura","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"578","Sanchez Varas Maria Soledad","-",NA,NA,"-","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"579","Gulin Lopez Jose","-",NA,NA,"-","4941 - Transporte de mercancías por carretera","Transporte nacional de mercancías.","-","-","Menos de 5","-","-","-","Activa","-","-","-","-","No constan","-","1 (año 2018)","2018","-","Durango"
"580","Arana Goitiandia Maria Cristina","-",NA,NA,"-","8559 - Otra educación n.c.o.p.","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"581","Fernandez Muñoz Nuria","-",NA,NA,"-","9602 - Peluquería y otros tratamientos de belleza","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"582","Berrojalbiz Zugadi Maria Teresa","-",NA,NA,"-","4772 - Comercio al por menor de calzado y artículos de cuero en establecimientos especializados","-","-","-","Menos de 5","-","-","-","Activa","-","-","-","-","No constan","-","3 (año 2018)","2018","-","Durango"
"583","Icaza Alonso Ibon","-",NA,NA,"-","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"584","Casado Aguinaco Koldobika","-",NA,NA,"-","4639 - Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"585","Niubo Ugedo Jordi","-",NA,NA,"-","1812 - Otras actividades de impresión y artes gráficas","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"586","Lebrijo Palma Enrique","-",NA,NA,"-","4771 - Comercio al por menor de prendas de vestir en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
"587","Ibañez Barba Leticia","-",NA,NA,"-","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","-","No constan","-","-","-","-","Durango"
